Temperature_C,Pressure_hPa,AngleX,AngleY,AngleZ,AccX_g,AccY_g,AccZ_g,Altitude_m,label
32.36,975.12,-1.38,-4.15,-3438.87,0.062000000000000006,0.0,0.979,322.41,0
32.22,975.36,-1.25,-1.03,-1609.2,0.003,-0.003000000000000001,0.993,320.37,0
31.68,975.64,-1.3,-0.53,-1536.0,-0.002999999999999999,0.0,0.99,317.91,0
32.03,975.98,-1.48,-0.82,-299.70000000000005,0.004,-0.004999999999999999,0.994,315.01,0
32.25,975.02,-1.32,-3.8099999999999996,-4215.24,0.058,-0.006,0.98,323.24,0
29.59,975.0,-16.84,19.31,-5644.98,-0.413,0.111,0.871,323.4,1
32.23,975.39,-1.26,-1.04,-1681.79,0.009,-0.004,1.0,320.1,0
20.69,974.95,-1.28,-3.63,-5345.700000000001,0.056,-0.002,0.992,323.87,1
24.13,824.04,-3.9000000000000004,-6.95,-485.5799999999999,0.102,-0.05299999999999999,0.97,1709.87,1
31.7,975.69,-1.25,-0.53,-1428.23,-0.004,-0.004,0.995,317.53,0
32.47,975.04,-1.24,-3.8,-3773.83,0.058,-0.002,0.989,323.1,0
32.23,975.96,-1.36,-5.26,-3903.13,0.082,-0.002,0.982,315.18,0
32.33,975.79,-1.27,-0.5,-507.68000000000006,-0.001999999999999999,-0.002,1.0,316.62,0
32.22,976.17,-1.08,-1.82,-2277.05,0.023,0.003,0.986,313.36,0
32.3,975.08,-1.31,-4.16,-3608.14,0.05999999999999999,-0.004,0.988,322.74,0
31.71,975.85,-1.6,0.6100000000000001,-2393.0,-0.018000000000000002,-0.004,0.994,316.12,0
32.42,975.18,-42.39,4.05,-3246.0,0.18499999999999997,-0.21,1.141,322.1,1
31.72,975.75,-1.22,-0.54,-1110.26,0.002,-0.003000000000000001,1.001,316.99,0
32.14,975.96,-1.38,-5.28,-3944.83,0.082,-0.0009999999999999992,0.985,315.21,0
32.16,975.12,-1.28,-3.7299999999999995,-5138.38,0.053,0.0,0.985,322.43,0
31.72,975.92,-1.57,0.5999999999999999,-2310.64,-0.019000000000000003,-0.007000000000000001,1.003,315.58,0
32.22,975.46,-1.38,1.0500000000000003,-891.45,-0.03,0.0,1.001,319.49,0
