Date,Time,ESP_ms,Temperature_C,Pressure_hPa,AngleX,AngleY,AngleZ,AccX_g,AccY_g,AccZ_g,Altitude_m,Result,Label
2025-09-09,23:51:50.224000,42963,32.66,976.16,-1.12,-0.53,-65.97,-0.001,0.001,0.995,313.48,Normal,0
2025-09-09,23:51:35.213000,27948,32.66,976.17,-1.14,-0.52,-41.61,-0.002,0.005,0.997,313.38,Normal,0
2025-09-17,00:09:53.577000,2673606,29.33,975.22,-1.22,-3.71,-4762.35,0.053,0.0,0.985,321.55,Normal,0
2025-09-10,00:08:26.818000,880800,32.37,976.15,-1.05,-1.87,-1467.57,0.023,0.002,0.995,313.6,Normal,0
2025-09-16,23:22:08.722000,319254,27.57,975.36,-1.12,-0.7,-512.98,0.005,-0.002,1.001,320.38,Normal,0
2025-09-10,01:32:49.017000,673593,31.71,975.72,-1.31,-0.53,-1201.63,0.002,-0.001,0.993,317.27,Normal,0
2025-09-09,23:54:56.408000,229149,32.99,976.21,-1.01,-0.25,-340.23,-0.005,0.002,0.996,313.03,Normal,0
2025-09-10,00:32:13.589000,2466384,32.11,975.94,-1.43,-5.29,-4023.11,0.08,-0.003,0.988,315.35,Normal,0
2025-09-10,00:17:00.693000,1553472,32.15,976.09,-1.03,-1.78,-2542.89,0.022,0.003,0.99,314.08,Normal,0
2025-09-16,23:17:41.455000,51987,30.33,975.51,-1.12,-0.47,-79.08,0.004,-0.003,0.99,319.09,Normal,0
2025-09-17,00:18:45.093000,3205137,30.23,974.98,-1.11,0.2,-5692.0,-0.012,0.002,0.992,323.62,Normal,0
2025-09-10,00:46:57.161000,475395,31.99,975.94,-1.44,0.64,-737.63,-0.019,-0.006,0.994,315.33,Normal,0
2025-09-10,01:04:15.012000,1331250,31.73,975.88,-1.56,0.61,-2176.81,-0.017,-0.006,1.001,315.91,Normal,0
2025-09-16,23:34:39.514000,559494,32.2,975.45,-1.32,1.08,-941.9,-0.029,0.002,1.0,319.57,Normal,0
2025-09-17,00:13:38.415000,2838771,31.98,975.12,-1.28,-3.72,-5041.71,0.058,0.0,0.981,322.42,Normal,0
2025-09-10,01:33:31.062000,715635,31.72,975.71,-1.24,-0.52,-1277.06,-0.003,0.0,0.998,317.32,Normal,0
2025-09-16,23:26:54.065000,94029,31.91,975.45,-1.13,-0.78,-143.12,0.007,0.0,0.996,319.55,Normal,0
2025-09-10,01:04:14.940000,1151070,31.76,975.88,-1.54,0.64,-1868.57,-0.021,-0.008,1.002,315.92,Normal,0
2025-09-10,00:08:36.196000,1048968,32.26,976.11,-1.05,-1.84,-1733.83,0.022,0.005,0.993,313.9,Normal,0
2025-09-10,01:04:14.923000,1106025,31.77,975.87,-1.59,0.62,-1792.33,-0.022,-0.005,0.989,315.97,Normal,0
2025-09-09,23:56:23.495000,316236,32.74,976.18,-1.01,-0.24,-476.23,-0.007,0.005,0.997,313.33,Normal,0
2025-09-17,00:06:00.280000,2319252,32.29,975.01,-1.25,-3.78,-4164.46,0.054,-0.001,0.987,323.35,Normal,0
2025-09-09,23:55:17.430000,250170,32.9,976.21,-1.0,-0.24,-373.02,-0.004,0.001,1.001,313.07,Normal,0
2025-09-10,01:27:09.691000,334254,31.99,975.73,-1.24,-0.52,-598.24,-0.003,0.0,0.994,317.15,Normal,0
2025-09-16,23:17:32.458000,42978,29.56,975.47,-1.07,-0.46,-64.52,-0.004,0.003,0.996,319.44,Normal,0
2025-09-16,23:18:14.494000,85020,30.45,975.44,-1.13,-0.72,-133.58,0.003,-0.003,0.992,319.62,Normal,0
2025-09-10,01:35:53.196000,856776,31.68,975.66,-1.28,-0.55,-1530.62,-0.002,0.001,0.997,317.81,Normal,0
2025-09-10,00:22:28.018000,1880799,32.35,976.02,-1.15,-5.89,-3026.66,0.094,0.0,0.988,314.64,Normal,0
2025-09-10,00:08:27.054000,1000920,32.27,976.13,-1.04,-1.84,-1657.85,0.024,0.003,0.993,313.77,Normal,0
2025-09-17,00:13:38.093000,2772705,31.27,975.2,-1.25,-3.71,-4929.84,0.055,-0.004,0.983,321.75,Normal,0
2025-09-10,01:27:42.716000,367287,31.91,975.71,-1.19,-0.5,-656.66,0.001,0.001,0.987,317.31,Normal,0
2025-09-10,00:34:43.736000,2616534,32.42,975.93,-1.56,-4.25,-4277.78,0.06,-0.004,0.984,315.48,Normal,0
2025-09-10,00:46:51.149000,469389,31.98,975.93,-1.4,0.63,-727.86,-0.023,-0.008,0.999,315.48,Normal,0
2025-09-16,23:15:25.304000,21957,30.13,975.42,-1.19,-0.7,-27.07,0.003,0.0,0.992,319.87,Normal,0
2025-09-10,00:00:41.736000,574494,32.55,976.2,-1.02,-1.88,-982.26,0.023,-0.001,0.994,313.14,Normal,0
2025-09-10,00:08:26.945000,955875,32.31,976.14,-0.97,-1.83,-1587.02,0.021,0.002,0.994,313.68,Normal,0
2025-09-10,01:50:59.084000,1763682,31.88,975.44,-1.26,-6.46,-3083.76,0.102,-0.005,0.983,319.63,Normal,0
2025-09-10,00:09:09.240000,1082001,32.28,976.15,-0.99,-1.82,-1786.36,0.022,-0.001,0.995,313.55,Normal,0
2025-09-10,00:25:28.190000,2060979,32.53,976.04,-0.88,-2.36,-3339.98,0.035,0.0,0.991,314.5,Normal,0
2025-09-10,01:44:06.712000,1301220,31.55,975.51,-1.18,1.82,-2365.37,-0.041,0.002,0.998,319.09,Normal,0
2025-09-10,01:33:13.041000,697617,31.72,975.73,-1.28,-0.51,-1244.88,0.001,-0.003,0.994,317.17,Normal,0
2025-09-10,01:48:10.911000,1595514,31.44,975.38,-1.29,-6.6,-2791.26,0.105,-0.001,0.981,320.16,Normal,0
2025-09-10,01:29:42.840000,487407,31.78,975.77,-1.24,-0.54,-870.22,0.0,-0.004,0.999,316.85,Normal,0
2025-09-10,01:33:46.075000,730650,31.71,975.7,-1.28,-0.54,-1303.93,-0.001,0.0,0.995,317.39,Normal,0
2025-09-17,00:06:08.351000,2448381,32.41,975.03,-1.27,-3.79,-4382.59,0.056,0.0,0.979,323.18,Normal,0
2025-09-16,23:42:15.488000,1003938,32.2,975.4,-1.29,-1.05,-1805.96,0.011,0.001,0.997,319.99,Normal,0
2025-09-09,23:55:41.448000,274194,32.84,976.16,-1.02,-0.28,-410.48,0.0,0.002,0.997,313.47,Normal,0
2025-09-10,01:31:21.935000,586506,31.74,975.75,-1.23,-0.54,-1045.94,0.001,0.0,0.991,317.0,Normal,0
2025-09-10,00:34:55.737000,2628546,32.29,975.93,-1.53,-4.39,-4298.72,0.069,-0.003,0.988,315.43,Normal,0
2025-09-10,01:04:15.025000,1361280,31.72,975.84,-1.61,0.62,-2228.33,-0.02,-0.008,0.992,316.23,Normal,0
2025-09-16,23:42:15.406000,1000935,32.21,975.41,-1.28,-1.03,-1800.77,0.007,0.002,0.991,319.96,Normal,0
2025-09-17,00:10:08.588000,2688621,29.78,975.23,-1.29,-3.73,-4787.88,0.057,-0.002,0.989,321.43,Normal,0
